,church name,city,denomination,latitude,longitude,state,street address,zip code
145,PARIS AVENUE CHURCH OF CHRIST,PEORIA,CHRISTIAN & CHURCHES OF CHRIST,40.73112999994959,-89.57025999979913,IL,1509 E PARIS AVE,61603
146,NORTH PEKIN CHURCH OF NAZARENE,NORTH PEKIN,CHURCH OF THE NAZARENE,40.61241000022136,-89.62168999999346,IL,126 S MAIN ST,61554
147,IMMANUEL LUTHERAN CHURCH,PEORIA,LUTHERAN CHURCH - MISSOURI SYNOD,40.682850000227404,-89.64617999980709,IL,611 S KICKAPOO LN,61604
148,CHRIST LUTHERAN CHURCH,PEORIA,LUTHERAN CHURCH - MISSOURI SYNOD,40.674740000350766,-89.6258399998161,IL,2020 W MALONE ST,61605
149,KINGDOM-DELIVERANCE BAPT CHR,PEORIA,NON CLASSIFIED AFFILIATION,40.71561000010149,-89.59336000026377,IL,105 E ARCADIA AVE,61603
150,BETHANY MISSIONARY CHURCH,EAST PEORIA,MISSIONARY CHURCH,40.67599000043822,-89.53710999992654,IL,2525 E WASHINGTON ST,61611
151,SECOND CHURCH-CHRIST SCIENTIST,PEORIA,CHRISTIAN SCIENCE CHURCHES,40.773470000040504,-89.59952000014783,IL,7020 N MOUNT HAWLEY RD,61614
152,NEW LIFE CHRISTIAN CHURCH,WEST PEORIA,CHRISTIAN - OTHER,40.69387000030031,-89.62560000043965,IL,2018 W KELLOGG AVE,61604
153,LARAMIE STREET BAPTIST CHURCH,PEORIA,SOUTHERN BAPTIST CONVENTION,40.67021000009146,-89.64309000030323,IL,1611 S LARAMIE ST,61605
154,BARTONVILLE CHRISTIAN CHURCH,PEORIA,CHRISTIAN - OTHER,40.63763999998605,-89.67150999968669,IL,4900 PFEIFFER RD,61607
155,FIRST UNITED METHODIST CHURCH,PEORIA,UNITED METHODIST CHURCH,40.6958400003158,-89.59305999991903,IL,116 NE PERRY AVE,61603
156,FIRST ENGLISH LUTH CHR ELCA,PEORIA,EVANGELICAL LUTHERAN CHURCH IN AMERICA,40.725389999648826,-89.58462999967469,IL,725 E FORREST HILL AVE,61603
157,WESTMINSTER PRESBYTERIAN CHR,PEORIA,PRESBYTERIAN CHURCH (USA),40.69303000023439,-89.61524999978764,IL,1420 W MOSS AVE,61606
158,FIRST FREEWILL BAPTIST CHURCH,PEORIA,FREE WILL BAPTISTS,40.72946999984066,-89.58135000040215,IL,819 E WILSON AVE,61616
159,FIRST MISSIONARY CHURCH,NORTH PEKIN,MISSIONARY CHURCH,40.61089000027334,-89.6211199997881,IL,114 LINCOLN BLVD,61554
160,CITY OF REFUGE WORSHIP CTR,PEORIA,NON-DENOMINATIONAL CHURCHES,40.67563999958634,-89.61458999992851,IL,2201 SW ADAMS ST,61602
161,IMMANUEL LUTHERAN CHURCH,PEORIA,LUTHERAN CHURCH - MISSOURI SYNOD,40.74695000014242,-89.59381999989307,IL,4911 N KNXVL AVE,61614
162,MT CALVARY EVANGELICAL LUTH,PEORIA,EVANGELICAL LUTHERAN CHURCH IN AMERICA,40.7201400003608,-89.60689999963523,IL,908 W HANSSLER PL,61604
163,SALEM LUTHERAN CHURCH,PEORIA,EVANGELICAL LUTHERAN CHURCH IN AMERICA,40.734109999776706,-89.62041000032121,IL,1700 W WAR MEMORIAL DR,61614
164,SERVANT OF CHRIST MINISTRIES,PEORIA,NON CLASSIFIED AFFILIATION,40.682179999907135,-89.62316000033371,IL,611 S WESTERN AVE,61605
165,BEREAN PRISON MINISTRIES,PEORIA,NON CLASSIFIED AFFILIATION,40.67864999989763,-89.64258000016684,IL,913 S LARAMIE ST,61605
166,CHRISTIAN LIFE CHURCH,CREVE COEUR,UNITED PENTECOSTAL CHURCH,40.64527999977224,-89.59878999975865,IL,133 S HIGHLAND ST,61610
167,NEW FREEDOM TRUE HOLINESS,PEORIA,HOLINESS - OTHER,40.69908000044171,-89.58164999984757,IL,401 MORGAN ST,61603
168,SECOND CHANCE CHURCH,PEORIA,BAPTIST - OTHER,40.77484000026584,-89.64430000034469,IL,3300 W WILLOW KNOLLS DR # 1,61614
169,GREATER PEORIA HOUSE OF PRAYER,EAST PEORIA,NON CLASSIFIED AFFILIATION,40.66602999978471,-89.57912999964975,IL,117 E WASHINGTON ST,61611
170,VINEYARD CHRISTIAN FELLOWSHIP,EAST PEORIA,ASSOCIATION OF VINEYARD CHURCHES,40.66602999978471,-89.57912999964975,IL,117 E WASHINGTON ST,61611
171,CARPENTERS HOUSE CHRISTIAN CHR,PEORIA,CHRISTIAN - OTHER,40.744169999645806,-89.64445999962925,IL,3309 W SYLVAN LN,61615
172,EAST PEORIA CHURCH OF CHRIST,EAST PEORIA,CHURCHES OF CHRIST (NON-INSTRUMENTAL),40.68330000029482,-89.54221999995298,IL,520 ARNOLD RD,61611
173,FAITH HOPE LOVE IN CHRIST,PEORIA,NON CLASSIFIED AFFILIATION,40.67809999971524,-89.61192999956978,IL,311 S OLIVE ST,61602
